Modelo,Tx=0x01,Tx=0x02,Tx=0x03,Tx=0x04,Tx=0x05,Tx=0x06,Tx=0x07
LoR,60.29,47.24,51.66,57.28,50.07,62.35,83.93
MLP,68.22,67.55,64.93,68.29,67.38,72.17,82.79
LDA,57.09,45.37,49.70,56.59,47.71,58.71,75.02
KNN,78.98,80.90,83.03,81.95,78.55,86.83,90.92
CART,75.71,76.38,80.32,78.82,72.19,87.05,90.13
NB,66.76,63.46,70.06,69.97,62.50,72.84,88.12
SVM,74.55,75.09,81.37,79.51,74.70,85.19,90.31
AB,81.67,81.91,85.97,82.93,79.44,89.66,92.93
GBM,84.44,85.43,87.71,87.60,83.73,91.52,93.97
RF,81.60,84.21,86.05,84.88,81.14,90.25,92.66
ET,82.47,83.13,86.95,85.71,80.92,90.25,92.49
