Modelo,Controller,Movil,Raspberry,MetricC,MetricM,MetricR
LR_c,0.8066095471,0.1174911355,0.7919711677,0.6338850972,2.8947462617,0.5953118931
MLP_c,0.8057935537,0.1171559233,0.7921847326,0.6326062603,2.894168162,0.5945814786
LDA_c,0.8017135863,0.1171086793,0.791330982,0.6550191623,2.8930261797,0.6026684131
KNN_c,0.8078335373,0.1166056361,0.7927841981,0.63956576,2.8926632602,0.5931943855
CART_c,0.8090575275,0.1173113402,0.7903883429,0.6210345286,2.8903749235,0.6009549577
NB_c,0.8078335373,0.1169802837,0.7938613201,0.6345999884,2.8930022808,0.58777085
SVM_c,0.8094655243,0.1176906317,0.7904851623,0.6187742219,2.8937696703,0.6030313164
AB_ec,0.8102815177,0.1167861966,0.7909166294,0.6155108944,2.8913064547,0.5970167809
GBM_ec,0.809873521,0.1179054014,0.7924014161,0.615494497,2.8836099632,0.5971783275
RF_ec,0.8062015504,0.1181117072,0.794073712,0.6356105669,2.8903457176,0.5855790014
ET_ec,0.8078335373,0.1177379471,0.7916724146,0.6227905086,2.8908672422,0.59022881
LR_r,0.8090575275,0.1170691378,0.7902373693,0.6267828749,2.9005447294,0.6012468165
LASSO_r,0.809873521,0.1172908038,0.7898987135,0.6138199788,2.8940116663,0.6022621172
EN_r,0.8086495308,0.1175030279,0.791126715,0.6232678623,2.8912026285,0.5966075431
KNN_r,0.8062015504,0.1180328456,0.789242727,0.635587817,2.8875544552,0.6042494606
CART_r,0.8102815177,0.1171363646,0.7906667471,0.6287138983,2.8868938636,0.6024235765
SVR_r,0.8119135047,0.11703352,0.791120545,0.6114142923,2.8878470253,0.598839265
AB_er,0.8082415341,0.1178915346,0.7922083343,0.6266574614,2.8901899072,0.593186915
GBM_er,0.8049775602,0.1167766847,0.7932456512,0.630381773,2.8938642478,0.5890734601
RF_er,0.8119135047,0.1167876235,0.7929529652,0.6206797474,2.890139529,0.5866778012
ET_er,0.8123215014,0.1168619351,0.790834329,0.6116552355,2.8920970282,0.5966392394
