Modelo,Tx_02,Tx_04,Tx_01,Tx_03,Tx_05,Tx_06,Tx_07,Metric_02,Metric_04,Metric_01,Metric_03,Metric_05,Metric_06,Metric_07
LoR_c,0.1293842557,0.124960153,0.1265339515,0.1154258168,0.1103343465,0.110888711,0.1049107143,2.8421408313,2.8743807494,2.9022883247,2.9170697379,2.9345739971,2.9438890323,2.8488811589
MLP_c,0.1299038711,0.1287854638,0.1235342242,0.1140867702,0.1106382979,0.1048839071,0.1082589286,2.8404461337,2.8690088733,2.9165900069,2.9224525776,2.9251073097,2.9491335354,2.8364386972
LDA_c,0.1296440634,0.1287854638,0.1240796291,0.1167648634,0.1130699088,0.1080864692,0.0993303571,2.8375243545,2.8801480862,2.8878837477,2.902472034,2.9238118464,2.9473449089,2.8719982799
KNN_c,0.1280852169,0.1265540325,0.1265339515,0.1148901982,0.1097264438,0.1088871097,0.1015625,2.8440871389,2.8833772905,2.8969087749,2.9228642589,2.9380050311,2.9280341986,2.8353661283
CART_c,0.1306832944,0.1287854638,0.1243523316,0.1183717193,0.1094224924,0.1068855084,0.1026785714,2.8362756194,2.8780075721,2.9007458945,2.9056713952,2.9371592814,2.9367004615,2.8380642401
NB_c,0.1275656015,0.1259164807,0.1278974639,0.1156936261,0.1094224924,0.1096877502,0.1026785714,2.8564699598,2.8888739087,2.9039493439,2.9076263854,2.9279055642,2.9244514041,2.8417393996
SVM_c,0.1306832944,0.1294230156,0.1235342242,0.1173004821,0.1097264438,0.1104883907,0.1026785714,2.8486085762,2.8778561105,2.9044592923,2.9141794655,2.9310850731,2.907518137,2.8726810374
AB_ec,0.1314627176,0.1284666879,0.1216253068,0.1173004821,0.1100303951,0.1092874299,0.0993303571,2.8476517767,2.8587175452,2.9132876314,2.9152152526,2.9398431744,2.9277277065,2.836702096
GBM_ec,0.1291244479,0.1265540325,0.1268066539,0.1173004821,0.1106382979,0.1088871097,0.1060267857,2.8329371859,2.8720906916,2.8855385573,2.9160007437,2.9265239272,2.9251442994,2.8270343371
RF_ec,0.1286048324,0.1262352566,0.1248977366,0.1167648634,0.1088145897,0.1120896717,0.109375,2.8410232217,2.8762130105,2.9081662965,2.9118554991,2.9326628882,2.9286040776,2.8338950295
ET_ec,0.1293842557,0.1268728084,0.1276247614,0.1175682914,0.111550152,0.1084867894,0.1026785714,2.8380671352,2.8896189222,2.8785425321,2.9131438226,2.9314790353,2.9313699862,2.8538492621
LiR_r,0.1291244479,0.1259164807,0.1265339515,0.1156936261,0.1103343465,0.1080864692,0.1037946429,2.8501920032,2.8721781864,2.893800358,2.9238050287,2.938820713,2.9429003192,2.882116497
LASSO_r,0.1280852169,0.1271915843,0.1235342242,0.11810391,0.1106382979,0.1096877502,0.1037946429,2.8472203232,2.8662154568,2.9084596245,2.9102979848,2.9245470646,2.9401792163,2.8611619942
EN_r,0.1301636789,0.1265540325,0.1238069266,0.1170326727,0.1079027356,0.1076861489,0.109375,2.8316702981,2.8726378559,2.9089604626,2.9116380675,2.9309322557,2.940481081,2.8420983784
KNN_r,0.1288646402,0.1300605674,0.1243523316,0.1194429566,0.1085106383,0.1100880705,0.1049107143,2.8438943095,2.8809731622,2.9015511925,2.8877693417,2.94244992,2.9208761242,2.8353671366
CART_r,0.1306832944,0.1271915843,0.125715844,0.1173004821,0.1112462006,0.1084867894,0.0993303571,2.8444799039,2.890212862,2.8870782483,2.8953710049,2.9230401186,2.9490579158,2.8190169914
SVR_r,0.1309431021,0.1265540325,0.1224434142,0.1164970541,0.1100303951,0.1100880705,0.1026785714,2.8406131237,2.898501011,2.9122952007,2.9110293469,2.9332852281,2.9199499407,2.7992553262
AB_er,0.1314627176,0.1303793433,0.1270793564,0.1151580075,0.1109422492,0.110888711,0.0993303571,2.8426020787,2.8703475042,2.8862455262,2.9284984277,2.9356964515,2.9325647549,2.8353746072
GBM_er,0.1306832944,0.1291042397,0.126261249,0.1173004821,0.1103343465,0.1088871097,0.0948660714,2.8435285518,2.8724861245,2.8939843153,2.9086784311,2.9380909954,2.9232328132,2.8770485034
RF_er,0.1299038711,0.1278291361,0.1235342242,0.1197107659,0.109118541,0.1080864692,0.0993303571,2.8448262534,2.8827873542,2.9000268625,2.9002242409,2.9321973887,2.9432425376,2.8276720654
ET_er,0.127045986,0.1243226012,0.1238069266,0.1143545795,0.1121580547,0.1080864692,0.1082589286,2.8529009636,2.8831036391,2.8951661215,2.9232667836,2.9217233042,2.9425142026,2.8260041829
